year,GEOID,NAME,state,county,tract,pop_total,median_hh_income,hh_total,hh_no_vehicle,disability_total,disability_with,age_65_plus,pct_65_plus,pct_no_vehicle_hh,pct_disabled
2024,17031010100,Census Tract 101; Cook County; Illinois,17,031,010100,4198,74145.0,2284,695,4097,504,570,0.13577894235350166,0.3042907180385289,0.12301684159140834
2024,17031010201,Census Tract 102.01; Cook County; Illinois,17,031,010201,7361,63056.0,2972,887,7352,1587,664,0.09020513517185165,0.2984522207267833,0.2158596300326442
2024,17031010202,Census Tract 102.02; Cook County; Illinois,17,031,010202,2482,53220.0,1139,422,2194,235,468,0.18855761482675262,0.37050043898156276,0.10711030082041932
2024,17031010300,Census Tract 103; Cook County; Illinois,17,031,010300,6477,73105.0,3243,1128,5516,399,1347,0.2079666512274201,0.34782608695652173,0.07233502538071065
2024,17031010400,Census Tract 104; Cook County; Illinois,17,031,010400,4545,54083.0,2099,947,4545,58,594,0.1306930693069307,0.4511672224868985,0.01276127612761276
2024,17031010501,Census Tract 105.01; Cook County; Illinois,17,031,010501,3718,48833.0,2458,1290,3718,221,436,0.1172673480365788,0.5248169243287225,0.05944055944055944
2024,17031010502,Census Tract 105.02; Cook County; Illinois,17,031,010502,3286,63125.0,1606,608,3286,380,244,0.07425441265976872,0.37858032378580325,0.11564211807668898
2024,17031010503,Census Tract 105.03; Cook County; Illinois,17,031,010503,2757,32443.0,1455,801,2757,224,609,0.22089227421109903,0.5505154639175258,0.08124773304316286
2024,17031010600,Census Tract 106; Cook County; Illinois,17,031,010600,6467,72500.0,3132,1261,6295,501,732,0.11319004175042524,0.40261813537675606,0.0795869737887212
2024,17031010701,Census Tract 107.01; Cook County; Illinois,17,031,010701,3478,74813.0,1687,230,3478,643,555,0.1595744680851064,0.13633669235328985,0.18487636572742955
2024,17031010702,Census Tract 107.02; Cook County; Illinois,17,031,010702,4739,61724.0,1948,721,4691,1278,183,0.03861574171766195,0.3701232032854209,0.2724365806864208
2024,17031020100,Census Tract 201; Cook County; Illinois,17,031,020100,4159,64904.0,1676,219,4159,818,470,0.11300793459966338,0.13066825775656324,0.19668189468622266
2024,17031020200,Census Tract 202; Cook County; Illinois,17,031,020200,7632,120625.0,2052,53,7575,2797,1206,0.1580188679245283,0.025828460038986353,0.3692409240924092
2024,17031020301,Census Tract 203.01; Cook County; Illinois,17,031,020301,4978,78385.0,2094,459,4968,1303,1314,0.2639614302932905,0.2191977077363897,0.26227858293075684
2024,17031020302,Census Tract 203.02; Cook County; Illinois,17,031,020302,5064,71250.0,1807,202,4754,1528,878,0.17338072669826224,0.11178749308245711,0.3214135464871687
2024,17031020400,Census Tract 204; Cook County; Illinois,17,031,020400,4363,73790.0,1658,208,4349,914,576,0.13201925280770113,0.12545235223160434,0.21016325592090135
2024,17031020500,Census Tract 205; Cook County; Illinois,17,031,020500,6625,37819.0,2313,664,6359,1528,860,0.129811320754717,0.287073065283182,0.240289353671961
2024,17031020601,Census Tract 206.01; Cook County; Illinois,17,031,020601,6275,64127.0,2074,435,6269,2194,871,0.13880478087649403,0.20973963355834138,0.3499760727388738
2024,17031020602,Census Tract 206.02; Cook County; Illinois,17,031,020602,4790,89663.0,1637,209,4788,1139,745,0.15553235908141963,0.12767257177764202,0.23788638262322473
2024,17031020701,Census Tract 207.01; Cook County; Illinois,17,031,020701,1771,108568.0,751,30,1768,313,468,0.264257481648786,0.03994673768308921,0.17703619909502263
2024,17031020702,Census Tract 207.02; Cook County; Illinois,17,031,020702,8057,63906.0,2620,427,7904,2471,1136,0.14099540771999503,0.16297709923664122,0.3126265182186235
2024,17031020801,Census Tract 208.01; Cook County; Illinois,17,031,020801,5332,74931.0,2211,130,5332,952,874,0.1639159789947487,0.05879692446856626,0.17854463615903976
2024,17031020802,Census Tract 208.02; Cook County; Illinois,17,031,020802,8964,68725.0,2086,313,8961,2981,697,0.07775546630968318,0.15004793863854266,0.33266376520477625
2024,17031020901,Census Tract 209.01; Cook County; Illinois,17,031,020901,6256,56291.0,2143,262,6256,1940,434,0.06937340153452685,0.12225851609892674,0.3101023017902813
2024,17031020902,Census Tract 209.02; Cook County; Illinois,17,031,020902,4107,45547.0,1481,377,3599,773,971,0.23642561480399318,0.25455773126266035,0.21478188385662683
2024,17031030101,Census Tract 301.01; Cook County; Illinois,17,031,030101,3515,48929.0,2270,1221,3515,305,639,0.1817923186344239,0.5378854625550661,0.08677098150782361
2024,17031030102,Census Tract 301.02; Cook County; Illinois,17,031,030102,3374,59826.0,2028,910,3366,181,739,0.21902786010669828,0.44871794871794873,0.05377302436125966
2024,17031030103,Census Tract 301.03; Cook County; Illinois,17,031,030103,2132,49545.0,1100,525,2132,65,162,0.07598499061913697,0.4772727272727273,0.03048780487804878
2024,17031030104,Census Tract 301.04; Cook County; Illinois,17,031,030104,3612,41823.0,1101,567,3612,148,371,0.10271317829457365,0.5149863760217984,0.04097452934662237
2024,17031030200,Census Tract 302; Cook County; Illinois,17,031,030200,5791,108466.0,2614,454,5786,674,724,0.12502158521844242,0.17368018362662585,0.11648807466297961
2024,17031030300,Census Tract 303; Cook County; Illinois,17,031,030300,2956,68933.0,1441,636,2956,323,567,0.1918132611637348,0.44136016655100624,0.10926928281461434
2024,17031030400,Census Tract 304; Cook County; Illinois,17,031,030400,2716,98909.0,1394,388,2716,398,381,0.140279823269514,0.2783357245337159,0.14653902798232696
2024,17031030500,Census Tract 305; Cook County; Illinois,17,031,030500,6518,127055.0,3120,632,6384,826,611,0.09374041116907027,0.20256410256410257,0.12938596491228072
2024,17031030601,Census Tract 306.01; Cook County; Illinois,17,031,030601,3907,52917.0,1974,825,3687,708,483,0.12362426414128487,0.41793313069908816,0.1920260374288039
2024,17031030603,Census Tract 306.03; Cook County; Illinois,17,031,030603,1996,49674.0,1302,743,1996,207,123,0.06162324649298597,0.5706605222734255,0.10370741482965933
2024,17031030604,Census Tract 306.04; Cook County; Illinois,17,031,030604,3109,51688.0,2234,1260,3109,133,730,0.2348021871984561,0.5640107430617726,0.04277902862656803
