community_area,total_trips
1,1724728
2,1310304
3,3379566
4,1631937
5,1684119
6,9963724
7,7700415
8,23417922
9,115110
10,484473
11,458648
12,207279
13,378688
14,1008164
15,1018642
16,1487630
17,401718
18,162503
19,1198201
20,401893
21,1535302
22,4711602
23,1453027
24,7693289
25,2228631
26,574866
27,820765
28,13950312
29,1349233
30,966282
31,1805178
32,13347771
33,3602107
34,879499
35,1102106
36,256074
37,174408
38,1081273
39,835378
40,596090
41,3573977
42,1480614
43,1684223
44,1249423
45,274872
46,600765
47,102615
48,309823
49,1074828
50,355781
51,348185
52,100912
53,534822
54,156019
55,60717
56,1948372
57,284196
58,597086
59,371217
60,819684
61,791998
62,206722
63,432086
64,191970
65,355502
66,843210
67,740768
68,941072
69,1241499
70,507491
71,1222788
72,263299
73,609550
74,114191
75,464165
76,5879773
77,2381568
