community_area,community_area_name,pop_total,median_hh_income,pct_no_vehicle_hh,pct_disabled,pct_65_plus,centroid_lat,centroid_lon,pct_65_plus_need_0_100,pct_disabled_need_0_100,pct_no_vehicle_hh_need_0_100,median_hh_income_need_0_100,transportation_need_index_0_100,need_quintile,total_trips
1,Rogers Park,63678.456810171374,68438.3733810722,0.3339599735531916,0.13450893000188413,0.13197985148780705,42.009623377988696,-87.6701672940393,35.06,12.99,75.32,50.65,43.5,Moderate,1724728
2,West Ridge,96476.57402607327,77432.7176687011,0.138959798843354,0.2675353286431119,0.16372387517151765,42.001572146349325,-87.69501265887241,63.64,89.61,31.17,33.77,54.55,Moderate,1310304
3,Uptown,56358.62234264856,73929.23307571631,0.4284571079761002,0.09828089964594686,0.12326792071362784,41.96581207771316,-87.65587931915148,28.57,3.9,92.21,40.26,41.24,Low,3379566
4,Lincoln Square,41562.90791763779,92167.4262833756,0.2224791606603233,0.1712803683018521,0.11348525186124105,41.97517153048752,-87.68751544295701,20.78,20.78,53.25,22.08,29.22,Very Low,1631937
5,North Center,36046.018210142756,147245.97983174163,0.12014245357169291,0.25954619078498986,0.08209024615416588,41.94779237360123,-87.68383517981742,6.49,85.71,28.57,1.3,30.52,Very Low,1684119
6,Lake View,102810.0926960865,113900.64928480172,0.39468004782463323,0.11244710440160857,0.10015540581632464,41.94422687050367,-87.65599892982176,12.99,6.49,89.61,11.69,30.19,Very Low,9963724
7,Lincoln Park,67861.31344029051,148997.09907341265,0.315475616278172,0.1446488423907291,0.09918664354707317,41.9226861178851,-87.64948972103547,10.39,14.29,71.43,0.0,24.03,Very Low,7700415
8,Near North Side,103819.61072985407,124512.90327200957,0.4682097234949415,0.06185666460863736,0.15456180707564926,41.89960210642618,-87.63330943703566,53.25,2.6,97.4,6.49,39.94,Low,23417922
9,Edison Park,25373.2088221984,140270.51110326604,0.0609136649528859,0.24518319056119622,0.18012976932496796,42.00761315249504,-87.81378102747257,72.73,77.92,5.19,3.9,39.94,Low,115110
10,Norwood Park,50093.53349918507,112677.56374770551,0.06718277701387859,0.22710264081363835,0.20387397135586421,41.98524067386265,-87.8034502383553,89.61,57.14,6.49,12.99,41.56,Low,484473
11,Jefferson Park,26669.972834944205,95593.24985070463,0.10638590086568046,0.18220513197903507,0.17372270147955998,41.97882998234234,-87.77116691801386,66.23,27.27,16.88,18.18,32.14,Very Low,458648
12,Forest Glen,33982.277416487836,120385.64463622092,0.05085654166253798,0.23026492217209077,0.23102829957571808,41.993930654079236,-87.75835628921867,96.1,63.64,1.3,9.09,42.53,Low,207279
13,North Park,18329.74773522283,70912.57349977616,0.18502429158580244,0.24515354942134124,0.18186217834837914,41.983636455292796,-87.72358281827584,76.62,76.62,40.26,42.86,59.09,High,378688
14,Albany Park,45709.285978945765,87142.28302353983,0.17898711618069466,0.17761089554413467,0.12649396083628747,41.96806846568348,-87.72155978386796,29.87,23.38,37.66,25.97,29.22,Very Low,1008164
15,Portage Park,67166.50416516227,91446.4027866188,0.11459530916932772,0.2162638101231492,0.14653956334941257,41.954028162150045,-87.76339991111827,42.86,45.45,20.78,23.38,33.12,Very Low,1018642
16,Irving Park,53305.64486989416,92992.5596430412,0.14257733207191817,0.22338715872273418,0.11847681070853147,41.95358181896004,-87.72345248206662,24.68,49.35,33.77,19.48,31.82,Very Low,1487630
17,Dunning,55976.14082307218,86460.1511384098,0.0791907582504864,0.19994316619478023,0.1839271856148766,41.946510663174045,-87.80601984481358,79.22,35.06,11.69,27.27,38.31,Low,401718
18,Montclare,22090.362436393734,75410.30437053667,0.09720778505333655,0.2120102143373044,0.15365109027286844,41.92929769096116,-87.79803232487089,51.95,40.26,14.29,37.66,36.04,Very Low,162503
19,Belmont Cragin,72139.92864665146,70321.79161983065,0.13922637771168728,0.24318451390517656,0.14191926961945475,41.927260741518765,-87.76550183689807,40.26,74.03,32.47,45.45,48.05,Moderate,1198201
20,Hermosa,22648.057502349722,70232.9348959084,0.10892866094937179,0.2408228413902899,0.1177679364588818,41.92434775700643,-87.73474016018459,23.38,71.43,18.18,46.75,39.94,Low,401893
21,Avondale,35520.99854084416,92740.26942883691,0.1798882780475784,0.1797417354487312,0.09993008565224197,41.93866588769793,-87.7112106378686,11.69,25.97,38.96,20.78,24.35,Very Low,1535302
22,Logan Square,71416.21440844498,111965.40465087247,0.2202384251674528,0.16437836614174586,0.07776558995987479,41.92275985852189,-87.69915594576551,3.9,16.88,51.95,14.29,21.76,Very Low,4711602
23,Humboldt Park,55768.92685142398,58884.27095088109,0.2651016289152798,0.26925881862338213,0.1040496256443005,41.90006984503975,-87.72091881010347,15.58,92.21,63.64,64.94,59.09,High,1453027
24,West Town,88182.66646282887,142246.31322459178,0.2076283915633655,0.12588326369277777,0.06923463619510062,41.9012067343156,-87.67635712603919,1.3,11.69,46.75,2.6,15.58,Very Low,7693289
25,Austin,150448.18341025733,69333.81428632714,0.22873533672556123,0.24755510350767765,0.1504343453104456,41.894101296113426,-87.76311182422583,46.75,80.52,59.74,49.35,59.09,High,2228631
26,West Garfield Park,15087.702924854702,35134.80571968107,0.32893628590318863,0.22559794743961925,0.15223607208803602,41.87859466819959,-87.73023251189852,48.05,54.55,74.03,93.51,67.54,Very High,574866
27,East Garfield Park,20739.40427417211,35957.692878674636,0.37514737850729474,0.27224639046212235,0.10595223496984149,41.87891463058505,-87.70589720722788,16.88,93.51,84.42,92.21,71.76,Very High,820765
