community_area,community,year,month,cta_month_total
1,ROGERS PARK,2024,1,234032
1,ROGERS PARK,2024,2,254067
1,ROGERS PARK,2024,3,258748
1,ROGERS PARK,2024,4,262725
1,ROGERS PARK,2024,5,266648
1,ROGERS PARK,2024,6,262588
1,ROGERS PARK,2024,7,266886
1,ROGERS PARK,2024,8,296445
1,ROGERS PARK,2024,9,319261
1,ROGERS PARK,2024,10,329512
1,ROGERS PARK,2024,11,284999
1,ROGERS PARK,2024,12,235770
3,UPTOWN,2024,1,185193
3,UPTOWN,2024,2,202235
3,UPTOWN,2024,3,210080
3,UPTOWN,2024,4,215840
3,UPTOWN,2024,5,231356
3,UPTOWN,2024,6,81535
3,UPTOWN,2024,7,222323
3,UPTOWN,2024,8,238535
3,UPTOWN,2024,9,249696
3,UPTOWN,2024,10,265807
3,UPTOWN,2024,11,224929
3,UPTOWN,2024,12,196378
4,LINCOLN SQUARE,2024,1,52719
4,LINCOLN SQUARE,2024,2,57069
4,LINCOLN SQUARE,2024,3,60026
4,LINCOLN SQUARE,2024,4,62102
4,LINCOLN SQUARE,2024,5,66724
4,LINCOLN SQUARE,2024,6,61800
4,LINCOLN SQUARE,2024,7,65315
4,LINCOLN SQUARE,2024,8,65998
4,LINCOLN SQUARE,2024,9,66361
4,LINCOLN SQUARE,2024,10,75185
4,LINCOLN SQUARE,2024,11,63112
4,LINCOLN SQUARE,2024,12,55920
5,NORTH CENTER,2024,1,63162
5,NORTH CENTER,2024,2,68433
5,NORTH CENTER,2024,3,71541
5,NORTH CENTER,2024,4,72642
5,NORTH CENTER,2024,5,79965
5,NORTH CENTER,2024,6,73010
5,NORTH CENTER,2024,7,72609
5,NORTH CENTER,2024,8,75851
5,NORTH CENTER,2024,9,77813
5,NORTH CENTER,2024,10,89467
5,NORTH CENTER,2024,11,71523
5,NORTH CENTER,2024,12,65990
6,LAKE VIEW,2024,1,507128
6,LAKE VIEW,2024,2,543922
6,LAKE VIEW,2024,3,596683
6,LAKE VIEW,2024,4,654870
6,LAKE VIEW,2024,5,730831
6,LAKE VIEW,2024,6,760311
6,LAKE VIEW,2024,7,720230
6,LAKE VIEW,2024,8,766335
6,LAKE VIEW,2024,9,755395
6,LAKE VIEW,2024,10,724759
6,LAKE VIEW,2024,11,591244
6,LAKE VIEW,2024,12,521068
