station_id,station_name,STATION_ID,LONGNAME,LINES,score
40010,Austin-Forest Park,1260,Austin-Lake,Green Line (Lake),0.8729292929292929
40010,Austin-Forest Park,10,Austin-Congress,Blue Line,0.8688888888888889
40010,Austin-Forest Park,390,Forest Park,Blue Line,0.7491582491582491
40010,Austin-Forest Park,560,Jackson/State,Red Line,0.7082621082621084
40010,Austin-Forest Park,1280,Jefferson Park,Blue Line,0.7080327080327079
40020,Harlem-Lake,20,Harlem-Lake,Green Line (Lake),1.0
40020,Harlem-Lake,750,Harlem-O'Hare,Blue Line (O'Hare),0.9020979020979021
40020,Harlem-Lake,980,Harlem-Congress,Blue Line (Congress),0.8521212121212122
40020,Harlem-Lake,280,Central-Lake,Green Line (Lake),0.8190235690235691
40020,Harlem-Lake,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",0.8007575757575758
40020,Harlem-Lake,260,State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",0.7311688311688312
40020,Harlem-Lake,170,Ashland-Lake,"Green (Lake), Pink",0.7146464646464646
40020,Harlem-Lake,590,Damen/Milwaukee,Blue Line,0.7118686868686869
40030,Pulaski-Lake,30,Pulaski-Lake,Green Line (Lake),1.0
40030,Pulaski-Lake,150,Pulaski-Douglas,Pink,0.9
40030,Pulaski-Lake,960,Pulaski-Midway,Orange Line,0.8785714285714286
40030,Pulaski-Lake,920,Pulaski-Congress,Blue Line (Congress),0.8625
40030,Pulaski-Lake,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",0.8222222222222223
40030,Pulaski-Lake,1310,Paulina,Brown Line,0.7571428571428572
40030,Pulaski-Lake,1660,Lake/State,Red Line,0.7134920634920635
40030,Pulaski-Lake,1340,LaSalle,Blue Line,0.7103174603174603
40030,Pulaski-Lake,1260,Austin-Lake,Green Line (Lake),0.7079124579124579
40040,Quincy/Wells,40,Quincy/Wells,"Brown, Orange, Pink, Purple (Express)",1.0
40050,Davis,50,Davis,"Purple Line, Evanston Express",1.0
40050,Davis,1190,Jarvis,Red Line,0.8222222222222223
40060,Belmont-O'Hare,60,Belmont-O'Hare,Blue Line,1.0
40060,Belmont-O'Hare,1320,Belmont-North Main,"Red, Brown, Purple (Express)",0.9147741147741147
40060,Belmont-O'Hare,1330,Montrose-O'Hare,Blue Line,0.8023809523809523
40060,Belmont-O'Hare,1240,Addison-O'Hare,Blue Line,0.7619047619047619
40060,Belmont-O'Hare,750,Harlem-O'Hare,Blue Line (O'Hare),0.7611721611721611
40070,Jackson/Dearborn,70,Jackson/Dearborn,Blue Line,1.0
40070,Jackson/Dearborn,560,Jackson/State,Red Line,0.8588461538461538
40070,Jackson/Dearborn,790,Monroe/Dearborn,Blue Line,0.7766414141414142
40070,Jackson/Dearborn,370,Washington/Dearborn,Blue Line,0.704031713900135
40080,Sheridan,80,Sheridan,Red Line,1.0
40090,Damen-Brown,210,Damen,Pink,0.890909090909091
40090,Damen-Brown,90,Damen-Ravenswood,Brown Line,0.8868181818181818
40090,Damen-Brown,590,Damen/Milwaukee,Blue Line,0.8206060606060606
40090,Damen-Brown,1000,Cermak-Chinatown,Red Line,0.719486531986532
40090,Damen-Brown,70,Jackson/Dearborn,Blue Line,0.7007575757575758
40100,Morse,100,Morse,Red Line,1.0
40100,Morse,1330,Montrose-O'Hare,Blue Line,0.8222222222222222
40100,Morse,1500,Montrose-Ravenswood,Brown Line,0.8035087719298246
40100,Morse,1090,Monroe/State,Red Line,0.7911111111111111
40100,Morse,1510,Morgan,"Green (Lake), Pink",0.79
40100,Morse,520,Foster,"Purple Line, Evanston Express",0.7000000000000001
40120,35th/Archer,120,35th/Archer,Orange Line,1.0
40120,35th/Archer,580,54th/Cermak,Pink,0.7348484848484849
40130,51st,130,51st,Green Line,1.0
40140,Dempster-Skokie,140,Dempster-Skokie,Yellow Line,1.0
40140,Dempster-Skokie,690,Dempster,"Purple Line, Evanston Express",0.9066666666666666
40150,Pulaski-Cermak,30,Pulaski-Lake,Green Line (Lake),0.9222943722943723
40150,Pulaski-Cermak,960,Pulaski-Midway,Orange Line,0.8857142857142858
40150,Pulaski-Cermak,920,Pulaski-Congress,Blue Line (Congress),0.876461038961039
40150,Pulaski-Cermak,150,Pulaski-Douglas,Pink,0.8485714285714285
40150,Pulaski-Cermak,1310,Paulina,Brown Line,0.7357142857142858
40160,LaSalle/Van Buren,160,LaSalle/Van Buren,"Brown, Orange, Pink, Purple (Express)",1.0
40160,LaSalle/Van Buren,1340,LaSalle,Blue Line,0.8823529411764706
40170,Ashland-Lake,170,Ashland-Lake,"Green (Lake), Pink",1.0
40170,Ashland-Lake,1060,Ashland-Midway,Orange Line,0.8785714285714286
40170,Ashland-Lake,290,Ashland/63rd,Green Line (Englewood),0.8666666666666666
40170,Ashland-Lake,1360,California-Lake,Green Line (Lake),0.7462962962962963
40170,Ashland-Lake,1260,Austin-Lake,Green Line (Lake),0.7431818181818182
40170,Ashland-Lake,1340,LaSalle,Blue Line,0.7301587301587302
40170,Ashland-Lake,20,Harlem-Lake,Green Line (Lake),0.7146464646464646
40180,Oak Park-Forest Park,1350,Oak Park-Lake,Green Line (Lake),0.8879487179487179
40180,Oak Park-Forest Park,180,Oak Park-Congress,Blue Line,0.8829411764705882
40190,Sox-35th-Dan Ryan,190,Sox-35th-Dan Ryan,Red Line,1.0
40190,Sox-35th-Dan Ryan,450,95th/Dan Ryan,Red Line,0.7652086475615887
40190,Sox-35th-Dan Ryan,1230,47th-Dan Ryan,Red Line,0.7401617989853285
40190,Sox-35th-Dan Ryan,910,63rd-Dan Ryan,Red Line,0.7191553544494722
40210,Damen-Cermak,210,Damen,Pink,0.8833333333333334
40210,Damen-Cermak,590,Damen/Milwaukee,Blue Line,0.86
40210,Damen-Cermak,90,Damen-Ravenswood,Brown Line,0.8402777777777778
40210,Damen-Cermak,460,Merchandise Mart,"Brown, Purple (Express)",0.7468434343434343
40220,Western-Forest Park,220,Western-Congress,Blue Line (Congress),0.8763157894736843
40220,Western-Forest Park,1480,Western-Ravenswood,Brown Line,0.865901934322987
40220,Western-Forest Park,740,Western-Douglas,Pink,0.8442743221690591
40220,Western-Forest Park,670,Western/Milwaukee,Blue Line (O'Hare),0.8270194202082747
40220,Western-Forest Park,310,Western-Midway,Orange Line,0.8233082706766918
40220,Western-Forest Park,1280,Jefferson Park,Blue Line,0.7184628237259815
40220,Western-Forest Park,390,Forest Park,Blue Line,0.7081339712918661
40230,Cumberland,230,Cumberland,Blue Line,1.0
40240,79th,240,79th,Red Line,1.0
40240,79th,1430,87th,Red Line,0.8333333333333334
40240,79th,990,69th,Red Line,0.8333333333333334
40250,Kedzie-Homan-Forest Park,250,Kedzie-Homan,Blue Line (Congress),0.9
40250,Kedzie-Homan-Forest Park,1070,Kedzie-Lake,Green Line (Lake),0.8386363636363636
40250,Kedzie-Homan-Forest Park,1180,Kedzie-Ravenswood,Brown Line,0.838515406162465
40250,Kedzie-Homan-Forest Park,1040,Kedzie-Douglas,Pink,0.8261904761904763
40260,State/Lake,260,State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",1.0
40260,State/Lake,1260,Austin-Lake,Green Line (Lake),0.8007575757575758
40260,State/Lake,280,Central-Lake,Green Line (Lake),0.7388888888888889
40260,State/Lake,20,Harlem-Lake,Green Line (Lake),0.7311688311688312
40260,State/Lake,590,Damen/Milwaukee,Blue Line,0.7222222222222222
40260,State/Lake,480,Cicero-Lake,Green Line (Lake),0.7151515151515152
40270,Main,270,Main,"Purple Line, Evanston Express",1.0
40270,Main,1000,Cermak-Chinatown,Red Line,0.75
40270,Main,470,Racine,Blue Line,0.75
40270,Main,1310,Paulina,Brown Line,0.7261904761904763
40280,Central-Lake,280,Central-Lake,Green Line (Lake),1.0
40280,Central-Lake,780,Central Park,Pink,0.9333333333333333
40280,Central-Lake,1250,Central-Evanston,"Purple Line, Evanston Express",0.8716666666666667
40280,Central-Lake,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",0.8616666666666666
40280,Central-Lake,20,Harlem-Lake,Green Line (Lake),0.8190235690235691
40280,Central-Lake,480,Cicero-Lake,Green Line (Lake),0.7806818181818183
40280,Central-Lake,1360,California-Lake,Green Line (Lake),0.76
40280,Central-Lake,1160,Clinton-Lake,"Green (Lake), Pink",0.75
40280,Central-Lake,260,State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",0.7388888888888889
40280,Central-Lake,1260,Austin-Lake,Green Line (Lake),0.7146464646464646
40290,Ashland/63rd,290,Ashland/63rd,Green Line (Englewood),1.0
40290,Ashland/63rd,1060,Ashland-Midway,Orange Line,0.8785714285714286
40290,Ashland/63rd,170,Ashland-Lake,"Green (Lake), Pink",0.8666666666666666
40290,Ashland/63rd,940,Halsted/63rd,Green Line,0.8222222222222223
40300,Indiana,300,Indiana,Green Line,1.0
40300,Indiana,1050,Linden,"Purple Line, Evanston Express",0.746031746031746
40310,Western-Orange,220,Western-Congress,Blue Line (Congress),0.9328296703296703
40310,Western-Orange,1480,Western-Ravenswood,Brown Line,0.8993894993894994
40310,Western-Orange,740,Western-Douglas,Pink,0.8856277056277057
40310,Western-Orange,670,Western/Milwaukee,Blue Line (O'Hare),0.8605042016806722
40310,Western-Orange,310,Western-Midway,Orange Line,0.8571428571428571
40310,Western-Orange,140,Dempster-Skokie,Yellow Line,0.7015873015873016
40320,Division/Milwaukee,320,Division/Milwaukee,Blue Line,1.0
40320,Division/Milwaukee,590,Damen/Milwaukee,Blue Line,0.815
40320,Division/Milwaukee,490,Grand/Milwaukee,Blue Line (O'Hare),0.7666666666666667
40320,Division/Milwaukee,1410,Chicago/Milwaukee,Blue Line,0.7352941176470589
40320,Division/Milwaukee,670,Western/Milwaukee,Blue Line (O'Hare),0.7352941176470589
