station_id,station_name,year,month,month_total
40900,Howard,2024,1,76756
41190,Jarvis,2024,1,24312
40100,Morse,2024,1,60575
41300,Loyola,2024,1,72389
40760,Granville,2024,1,53787
40880,Thorndale,2024,1,44290
41380,Bryn Mawr,2024,1,38909
40340,Berwyn,2024,1,0
41200,Argyle,2024,1,60545
40770,Lawrence,2024,1,0
40540,Wilson,2024,1,124648
40080,Sheridan,2024,1,60686
41420,Addison-North Main,2024,1,92856
41320,Belmont-North Main,2024,1,156784
41220,Fullerton,2024,1,187698
40650,North/Clybourn,2024,1,74109
40630,Clark/Division,2024,1,111421
41450,Chicago/State,2024,1,166851
40330,Grand/State,2024,1,125944
41660,Lake/State,2024,1,218006
41090,Monroe/State,2024,1,83094
40560,Jackson/State,2024,1,97707
41490,Harrison,2024,1,47391
41400,Roosevelt,2024,1,148327
41000,Cermak-Chinatown,2024,1,59274
40190,Sox-35th-Dan Ryan,2024,1,43786
41230,47th-Dan Ryan,2024,1,35956
41170,Garfield-Dan Ryan,2024,1,40055
40910,63rd-Dan Ryan,2024,1,32955
40990,69th,2024,1,59477
40240,79th,2024,1,74724
41430,87th,2024,1,42804
40450,95th/Dan Ryan,2024,1,106808
41050,Linden,2024,1,9235
41250,Central-Evanston,2024,1,9913
40400,Noyes,2024,1,12601
40520,Foster,2024,1,9658
40050,Davis,2024,1,39228
40690,Dempster,2024,1,10294
40270,Main,2024,1,13334
40840,South Boulevard,2024,1,8430
40140,Dempster-Skokie,2024,1,13022
41680,Oakton-Skokie,2024,1,7997
40890,O'Hare Airport,2024,1,182536
40820,Rosemont,2024,1,76205
40230,Cumberland,2024,1,39979
40750,Harlem-O'Hare,2024,1,34976
41280,Jefferson Park,2024,1,94956
41330,Montrose-O'Hare,2024,1,31551
40550,Irving Park-O'Hare,2024,1,55178
41240,Addison-O'Hare,2024,1,34952
40060,Belmont-O'Hare,2024,1,73182
41020,Logan Square,2024,1,90611
40570,California/Milwaukee,2024,1,66434
40670,Western/Milwaukee,2024,1,67558
40590,Damen/Milwaukee,2024,1,74636
40320,Division/Milwaukee,2024,1,80400
41410,Chicago/Milwaukee,2024,1,51238
40490,Grand/Milwaukee,2024,1,41900
40370,Washington/Dearborn,2024,1,141840
40790,Monroe/Dearborn,2024,1,73962
40070,Jackson/Dearborn,2024,1,77634
41340,LaSalle,2024,1,35869
40430,Clinton-Forest Park,2024,1,36964
40350,UIC-Halsted,2024,1,76488
40470,Racine,2024,1,15166
40810,Medical Center,2024,1,29956
40220,Western-Forest Park,2024,1,13893
40250,Kedzie-Homan-Forest Park,2024,1,21674
40920,Pulaski-Forest Park,2024,1,17324
40970,Cicero-Forest Park,2024,1,14148
40010,Austin-Forest Park,2024,1,14141
40180,Oak Park-Forest Park,2024,1,11712
40980,Harlem-Forest Park,2024,1,8588
40390,Forest Park,2024,1,27774
41030,Polk,2024,1,48715
40830,18th,2024,1,28555
40210,Damen-Cermak,2024,1,24565
40740,Western-Cermak,2024,1,20343
40440,California-Cermak,2024,1,23899
41040,Kedzie-Cermak,2024,1,18702
40780,Central Park,2024,1,17136
40150,Pulaski-Cermak,2024,1,18426
40600,Kostner,2024,1,7324
40420,Cicero-Cermak,2024,1,19928
40580,54th/Cermak,2024,1,36160
40020,Harlem-Lake,2024,1,44217
41350,Oak Park-Lake,2024,1,15664
40610,Ridgeland,2024,1,14803
41260,Austin-Lake,2024,1,21558
40280,Central-Lake,2024,1,28880
40700,Laramie,2024,1,14958
40480,Cicero-Lake,2024,1,15645
40030,Pulaski-Lake,2024,1,21096
41670,Conservatory,2024,1,13059
41070,Kedzie-Lake,2024,1,16066
41360,California-Lake,2024,1,15833
40170,Ashland-Lake,2024,1,45130
41510,Morgan-Lake,2024,1,69394
41160,Clinton-Lake,2024,1,56466
41690,Cermak-McCormick Place,2024,1,24886
41120,35-Bronzeville-IIT,2024,1,23093
40300,Indiana,2024,1,8984
41270,43rd,2024,1,12166
41080,47th-South Elevated,2024,1,12489
40130,51st,2024,1,12395
40510,Garfield-South Elevated,2024,1,14601
41140,King Drive,2024,1,6367
40720,East 63rd-Cottage Grove,2024,1,13754
40940,Halsted/63rd,2024,1,6912
40290,Ashland/63rd,2024,1,13441
41290,Kimball,2024,1,60631
41180,Kedzie-Brown,2024,1,29440
40870,Francisco,2024,1,19947
41010,Rockwell,2024,1,21066
41480,Western-Brown,2024,1,51000
40090,Damen-Brown,2024,1,35261
41500,Montrose-Brown,2024,1,31653
41460,Irving Park-Brown,2024,1,36115
41440,Addison-Brown,2024,1,27047
41310,Paulina,2024,1,38351
40360,Southport,2024,1,48188
41210,Wellington,2024,1,40019
40530,Diversey,2024,1,70244
40660,Armitage,2024,1,60071
40800,Sedgwick,2024,1,53322
40710,Chicago/Franklin,2024,1,84210
40460,Merchandise Mart,2024,1,82203
40930,Midway Airport,2024,1,100810
40960,Pulaski-Orange,2024,1,64830
41150,Kedzie-Midway,2024,1,47456
40310,Western-Orange,2024,1,51416
40120,35th/Archer,2024,1,36582
41060,Ashland-Orange,2024,1,24857
41130,Halsted-Orange,2024,1,38695
40730,Washington/Wells,2024,1,95964
40040,Quincy/Wells,2024,1,90625
40160,LaSalle/Van Buren,2024,1,35338
40850,Library,2024,1,54997
40680,Adams/Wabash,2024,1,89047
41700,Washington/Wabash,2024,1,140132
40260,State/Lake,2024,1,155856
40380,Clark/Lake,2024,1,173586
40900,Howard,2024,2,78160
41190,Jarvis,2024,2,25135
40100,Morse,2024,2,63136
41300,Loyola,2024,2,87636
40760,Granville,2024,2,63303
40880,Thorndale,2024,2,46416
41380,Bryn Mawr,2024,2,41255
40340,Berwyn,2024,2,0
41200,Argyle,2024,2,66374
40770,Lawrence,2024,2,0
40540,Wilson,2024,2,135861
40080,Sheridan,2024,2,63927
41420,Addison-North Main,2024,2,99307
41320,Belmont-North Main,2024,2,170176
41220,Fullerton,2024,2,213526
40650,North/Clybourn,2024,2,76976
40630,Clark/Division,2024,2,115888
41450,Chicago/State,2024,2,177093
40330,Grand/State,2024,2,130764
41660,Lake/State,2024,2,226468
41090,Monroe/State,2024,2,90787
40560,Jackson/State,2024,2,107418
41490,Harrison,2024,2,57145
41400,Roosevelt,2024,2,164262
41000,Cermak-Chinatown,2024,2,75626
40190,Sox-35th-Dan Ryan,2024,2,47938
41230,47th-Dan Ryan,2024,2,37145
41170,Garfield-Dan Ryan,2024,2,42512
40910,63rd-Dan Ryan,2024,2,35424
40990,69th,2024,2,63527
40240,79th,2024,2,79329
41430,87th,2024,2,47071
40450,95th/Dan Ryan,2024,2,113342
41050,Linden,2024,2,10512
41250,Central-Evanston,2024,2,10176
40400,Noyes,2024,2,13200
40520,Foster,2024,2,10418
40050,Davis,2024,2,42214
40690,Dempster,2024,2,11209
40270,Main,2024,2,13922
40840,South Boulevard,2024,2,8826
40140,Dempster-Skokie,2024,2,17088
41680,Oakton-Skokie,2024,2,10093
40890,O'Hare Airport,2024,2,179695
40820,Rosemont,2024,2,82424
40230,Cumberland,2024,2,43621
40750,Harlem-O'Hare,2024,2,37350
41280,Jefferson Park,2024,2,100676
41330,Montrose-O'Hare,2024,2,34358
40550,Irving Park-O'Hare,2024,2,57906
41240,Addison-O'Hare,2024,2,38245
40060,Belmont-O'Hare,2024,2,78521
41020,Logan Square,2024,2,97718
40570,California/Milwaukee,2024,2,73018
40670,Western/Milwaukee,2024,2,73455
40590,Damen/Milwaukee,2024,2,83523
40320,Division/Milwaukee,2024,2,88308
41410,Chicago/Milwaukee,2024,2,56346
40490,Grand/Milwaukee,2024,2,43704
40370,Washington/Dearborn,2024,2,154129
40790,Monroe/Dearborn,2024,2,83895
40070,Jackson/Dearborn,2024,2,82102
41340,LaSalle,2024,2,41397
40430,Clinton-Forest Park,2024,2,38512
40350,UIC-Halsted,2024,2,92894
40470,Racine,2024,2,17416
40810,Medical Center,2024,2,33494
40220,Western-Forest Park,2024,2,15994
40250,Kedzie-Homan-Forest Park,2024,2,22089
40920,Pulaski-Forest Park,2024,2,17625
40970,Cicero-Forest Park,2024,2,15358
40010,Austin-Forest Park,2024,2,15480
