year,GEOID,NAME,state,county,tract,pop_total,median_hh_income,hh_total,hh_no_vehicle,disability_total,disability_with,age_65_plus,pct_65_plus,pct_no_vehicle_hh,pct_disabled,transportation_need_index_0_100,need_quintile
2024,17031010100,Census Tract 101; Cook County; Illinois,17,31,10100,4198,74145,2284,695,4097,504,570,0.1357789423535016,0.3042907180385289,0.1230168415914083,48.26,Moderate
2024,17031010201,Census Tract 102.01; Cook County; Illinois,17,31,10201,7361,63056,2972,887,7352,1587,664,0.0902051351718516,0.2984522207267833,0.2158596300326442,55.3,High
2024,17031010202,Census Tract 102.02; Cook County; Illinois,17,31,10202,2482,53220,1139,422,2194,235,468,0.1885576148267526,0.3705004389815627,0.1071103008204193,61.92,High
2024,17031010300,Census Tract 103; Cook County; Illinois,17,31,10300,6477,73105,3243,1128,5516,399,1347,0.2079666512274201,0.3478260869565217,0.0723350253807106,57.78,High
2024,17031010400,Census Tract 104; Cook County; Illinois,17,31,10400,4545,54083,2099,947,4545,58,594,0.1306930693069307,0.4511672224868985,0.0127612761276127,52.78,High
2024,17031010501,Census Tract 105.01; Cook County; Illinois,17,31,10501,3718,48833,2458,1290,3718,221,436,0.1172673480365788,0.5248169243287225,0.0594405594405594,53.66,High
2024,17031010502,Census Tract 105.02; Cook County; Illinois,17,31,10502,3286,63125,1606,608,3286,380,244,0.0742544126597687,0.3785803237858032,0.1156421180766889,45.39,Moderate
2024,17031010503,Census Tract 105.03; Cook County; Illinois,17,31,10503,2757,32443,1455,801,2757,224,609,0.220892274211099,0.5505154639175258,0.0812477330431628,69.72,Very High
2024,17031010600,Census Tract 106; Cook County; Illinois,17,31,10600,6467,72500,3132,1261,6295,501,732,0.1131900417504252,0.402618135376756,0.0795869737887212,46.6,Moderate
2024,17031010701,Census Tract 107.01; Cook County; Illinois,17,31,10701,3478,74813,1687,230,3478,643,555,0.1595744680851064,0.1363366923532898,0.1848763657274295,50.3,Moderate
2024,17031010702,Census Tract 107.02; Cook County; Illinois,17,31,10702,4739,61724,1948,721,4691,1278,183,0.0386157417176619,0.3701232032854209,0.2724365806864208,62.17,High
