NAME,B01003_001E,B19013_001E,B08201_001E,B08201_002E,C18108_001E,C18108_002E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,tract,year,GEOID
Census Tract 101; Cook County; Illinois,4198,74145,2284,695,4097,504,86,45,60,45,43,5,16,69,79,69,18,35,17,031,010100,2024,17031010100
Census Tract 102.01; Cook County; Illinois,7361,63056,2972,887,7352,1587,146,56,82,28,6,28,121,58,22,86,31,0,17,031,010201,2024,17031010201
Census Tract 102.02; Cook County; Illinois,2482,53220,1139,422,2194,235,18,80,33,45,15,34,29,34,46,28,45,61,17,031,010202,2024,17031010202
Census Tract 103; Cook County; Illinois,6477,73105,3243,1128,5516,399,55,52,100,180,69,28,98,50,239,171,171,134,17,031,010300,2024,17031010300
Census Tract 104; Cook County; Illinois,4545,54083,2099,947,4545,58,100,25,61,140,0,21,0,105,59,53,30,0,17,031,010400,2024,17031010400
Census Tract 105.01; Cook County; Illinois,3718,48833,2458,1290,3718,221,0,9,197,0,7,0,8,167,48,0,0,0,17,031,010501,2024,17031010501
Census Tract 105.02; Cook County; Illinois,3286,63125,1606,608,3286,380,12,19,39,36,10,0,36,3,36,23,21,9,17,031,010502,2024,17031010502
Census Tract 105.03; Cook County; Illinois,2757,32443,1455,801,2757,224,113,0,91,94,25,0,67,59,65,30,0,65,17,031,010503,2024,17031010503
Census Tract 106; Cook County; Illinois,6467,72500,3132,1261,6295,501,39,92,143,36,23,20,88,66,131,40,19,35,17,031,010600,2024,17031010600
Census Tract 107.01; Cook County; Illinois,3478,74813,1687,230,3478,643,14,40,152,33,0,0,37,143,109,19,8,0,17,031,010701,2024,17031010701
Census Tract 107.02; Cook County; Illinois,4739,61724,1948,721,4691,1278,28,27,8,0,0,0,0,42,78,0,0,0,17,031,010702,2024,17031010702
Census Tract 201; Cook County; Illinois,4159,64904,1676,219,4159,818,72,0,155,9,0,0,3,56,74,29,25,47,17,031,020100,2024,17031020100
Census Tract 202; Cook County; Illinois,7632,120625,2052,53,7575,2797,96,153,292,49,29,63,81,227,72,66,78,0,17,031,020200,2024,17031020200
Census Tract 203.01; Cook County; Illinois,4978,78385,2094,459,4968,1303,117,112,121,119,124,1,0,123,228,95,86,188,17,031,020301,2024,17031020301
Census Tract 203.02; Cook County; Illinois,5064,71250,1807,202,4754,1528,58,108,32,86,24,39,45,124,90,85,138,49,17,031,020302,2024,17031020302
Census Tract 204; Cook County; Illinois,4363,73790,1658,208,4349,914,49,93,52,70,30,2,56,62,66,61,16,19,17,031,020400,2024,17031020400
Census Tract 205; Cook County; Illinois,6625,37819,2313,664,6359,1528,26,67,142,64,18,12,246,20,132,71,2,60,17,031,020500,2024,17031020500
Census Tract 206.01; Cook County; Illinois,6275,64127,2074,435,6269,2194,63,126,171,74,31,18,33,87,20,130,116,2,17,031,020601,2024,17031020601
Census Tract 206.02; Cook County; Illinois,4790,89663,1637,209,4788,1139,36,149,50,92,12,23,56,77,53,115,31,51,17,031,020602,2024,17031020602
Census Tract 207.01; Cook County; Illinois,1771,108568,751,30,1768,313,31,22,51,32,5,27,10,129,60,57,23,21,17,031,020701,2024,17031020701
Census Tract 207.02; Cook County; Illinois,8057,63906,2620,427,7904,2471,8,201,232,40,11,63,9,179,172,132,42,47,17,031,020702,2024,17031020702
Census Tract 208.01; Cook County; Illinois,5332,74931,2211,130,5332,952,74,100,109,49,0,51,73,39,187,22,121,49,17,031,020801,2024,17031020801
Census Tract 208.02; Cook County; Illinois,8964,68725,2086,313,8961,2981,20,45,44,32,34,78,43,32,76,62,164,67,17,031,020802,2024,17031020802
Census Tract 209.01; Cook County; Illinois,6256,56291,2143,262,6256,1940,31,47,94,0,31,19,28,39,7,61,36,41,17,031,020901,2024,17031020901
Census Tract 209.02; Cook County; Illinois,4107,45547,1481,377,3599,773,31,60,87,125,75,57,141,29,148,47,33,138,17,031,020902,2024,17031020902
Census Tract 301.01; Cook County; Illinois,3515,48929,2270,1221,3515,305,33,3,50,142,19,0,7,78,96,136,40,35,17,031,030101,2024,17031030101
Census Tract 301.02; Cook County; Illinois,3374,59826,2028,910,3366,181,28,45,47,175,10,28,39,63,51,154,25,74,17,031,030102,2024,17031030102
Census Tract 301.03; Cook County; Illinois,2132,49545,1100,525,2132,65,0,7,49,4,0,0,34,7,31,16,14,0,17,031,030103,2024,17031030103
Census Tract 301.04; Cook County; Illinois,3612,41823,1101,567,3612,148,36,34,70,63,12,11,0,32,44,16,21,32,17,031,030104,2024,17031030104
Census Tract 302; Cook County; Illinois,5791,108466,2614,454,5786,674,77,50,33,79,20,0,35,122,64,113,54,77,17,031,030200,2024,17031030200
Census Tract 303; Cook County; Illinois,2956,68933,1441,636,2956,323,50,41,4,72,0,49,0,56,90,48,88,69,17,031,030300,2024,17031030300
Census Tract 304; Cook County; Illinois,2716,98909,1394,388,2716,398,48,10,38,43,6,0,64,23,101,42,6,0,17,031,030400,2024,17031030400
Census Tract 305; Cook County; Illinois,6518,127055,3120,632,6384,826,32,156,10,112,29,10,19,127,25,14,31,46,17,031,030500,2024,17031030500
Census Tract 306.01; Cook County; Illinois,3907,52917,1974,825,3687,708,45,71,27,86,19,5,20,25,73,43,5,64,17,031,030601,2024,17031030601
Census Tract 306.03; Cook County; Illinois,1996,49674,1302,743,1996,207,19,0,48,5,0,0,4,30,17,0,0,0,17,031,030603,2024,17031030603
Census Tract 306.04; Cook County; Illinois,3109,51688,2234,1260,3109,133,84,21,165,46,16,0,36,89,127,24,82,40,17,031,030604,2024,17031030604
Census Tract 307.01; Cook County; Illinois,1516,44948,917,526,1335,87,18,58,49,21,8,9,21,38,17,15,15,45,17,031,030701,2024,17031030701
Census Tract 307.02; Cook County; Illinois,2039,60603,1482,402,2039,132,20,28,111,28,53,9,22,79,135,82,34,20,17,031,030702,2024,17031030702
Census Tract 307.03; Cook County; Illinois,3237,74702,1858,898,3237,224,60,70,25,30,33,58,17,63,77,112,53,165,17,031,030703,2024,17031030703
Census Tract 307.06; Cook County; Illinois,2717,52167,1936,1109,2717,140,35,41,35,92,21,0,0,9,112,143,87,233,17,031,030706,2024,17031030706
Census Tract 308; Cook County; Illinois,4610,105585,2211,444,4456,731,28,30,56,107,0,20,92,31,87,29,30,81,17,031,030800,2024,17031030800
Census Tract 309; Cook County; Illinois,2818,87485,1519,212,2818,294,12,11,31,10,7,12,56,61,8,16,19,38,17,031,030900,2024,17031030900
Census Tract 310; Cook County; Illinois,4108,132147,2195,503,4102,406,50,11,1,11,0,50,11,0,65,0,1,12,17,031,031000,2024,17031031000
Census Tract 311; Cook County; Illinois,5018,92717,3108,1308,4931,286,0,19,71,35,47,0,171,16,113,28,18,18,17,031,031100,2024,17031031100
Census Tract 312; Cook County; Illinois,5298,25713,3413,2084,5034,531,20,38,31,14,16,7,28,95,15,106,108,48,17,031,031200,2024,17031031200
Census Tract 313; Cook County; Illinois,6136,68942,4216,1626,5779,267,172,82,65,187,205,132,29,225,68,313,253,283,17,031,031300,2024,17031031300
Census Tract 314; Cook County; Illinois,4697,93026,3128,1318,4479,141,0,41,142,101,64,20,14,160,124,194,55,69,17,031,031400,2024,17031031400
Census Tract 315.01; Cook County; Illinois,4792,52250,2094,674,4732,1079,19,55,114,4,28,0,48,24,12,120,112,16,17,031,031501,2024,17031031501
Census Tract 315.02; Cook County; Illinois,4463,49684,2533,1528,4456,785,6,91,64,25,1,3,78,1,51,4,72,41,17,031,031502,2024,17031031502
Census Tract 317; Cook County; Illinois,5851,79867,3341,1182,5754,392,34,85,95,9,6,20,27,54,18,102,21,11,17,031,031700,2024,17031031700
