the_geom,station_id,longname,lines,address,ada,pknrd,point_x,point_y,legend
POINT (-87.74517217791391 41.871608050522994),970,Cicero-Congress,Blue Line (Congress),720 S. Cicero Avenue,False,False,1144440.97667316,1896352.78926296,Blue Line
POINT (-87.80317598719213 41.88684830347631),20,Harlem-Lake,Green Line (Lake),1 S. Harlem Avenue,True,False,1128608.76033842,1901803.39560403,Green Line
POINT (-87.78366103293801 41.88715939826551),610,Ridgeland,Green Line (Lake),36 N. Ridgeland Avenue,False,False,1133921.86037537,1901950.19138017,Green Line
POINT (-87.83802598504772 41.984294057828016),230,Cumberland,Blue Line,5800 N. Cumberland Avenue,True,True,1118914.13069739,1937256.04587705,Blue Line
POINT (-87.62618878473234 41.88322001293653),1700,Washington/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",29 N. Wabash,True,False,1176812.47724731,1900828.68763513,Multiple Lines
POINT (-87.63172207547264 41.875567625950715),1340,LaSalle,Blue Line,150 W. Congress Parkway,False,False,1175328.49516593,1898027.79675252,Blue Line
POINT (-87.64757831015247 41.89118929406765),490,Grand/Milwaukee,Blue Line (O'Hare),502 N. Milwaukee Avenue,False,False,1170964.65874586,1903685.42030979,Blue Line
POINT (-87.68561725654831 42.06398654414921),1250,Central-Evanston,"Purple Line, Evanston Express",1022 W. Central Avenue,False,False,1160131.38718378,1966573.10446436,Multiple Lines
POINT (-87.74361697430824 41.961486633040835),1330,Montrose-O'Hare,Blue Line,4600 W. Montrose Avenue,False,False,1144639.34672135,1929107.50647746,Blue Line
POINT (-87.62146281101369 41.8218151964997),300,Indiana,Green Line,4003 S. Indiana Avenue,True,False,1178284.91449668,1878463.5617263,Green Line
POINT (-87.63116917003116 41.79541826211501),1170,Garfield-Dan Ryan,Red Line,220 W. Garfield Boulevard,True,False,1175717.82047829,1868822.88715732,Red Line
POINT (-87.70615542049478 41.88432109621861),1070,Kedzie-Lake,Green Line (Lake),3200 W. Lake Street,True,False,1155033.73418703,1901060.63233934,Green Line
POINT (-87.62517835384935 41.750412342729696),240,79th,Red Line,15 W. 79th Street,True,False,1177486.45894394,1852436.46589406,Red Line
POINT (-87.64917726687139 41.91065458056037),650,North/Clybourn,Red Line,1599 N. Clybourn Avenue,False,False,1170472.73119341,1910775.10249239,Red Line
POINT (-87.63102579710096 41.81033813281231),1230,47th-Dan Ryan,Red Line,220 W. 47th Street,True,False,1175712.49286229,1874259.92345038,Red Line
POINT (-87.68354292586837 42.04771009459835),50,Davis,"Purple Line, Evanston Express",1612 N. Benson Avenue,True,False,1160739.71614434,1960646.07930684,Multiple Lines
POINT (-87.6747361074464 41.94702865537701),1440,Addison-Ravenswood,Brown Line,1818 W. Addison Street,True,False,1163413.93822683,1923975.42941668,Brown Line
POINT (-87.69482291545437 41.854279630327355),440,California-Douglas,Pink Line,2011 S. California Avenue,True,False,1158201.07396598,1890136.33869717,Pink Line
POINT (-87.63088601833961 41.88573698625938),380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",100 W. Lake,True,False,1175525.85913411,1901735.36641997,Multiple Lines
