service_date,bus,rail_boardings,total_rides
2024-01-01T00:00:00.000,205964,152767,358731
2024-01-02T00:00:00.000,417384,278216,695600
2024-01-03T00:00:00.000,451613,307037,758650
2024-01-04T00:00:00.000,460277,317437,777714
2024-01-05T00:00:00.000,445488,280897,726385
2024-01-06T00:00:00.000,308872,196983,505855
2024-01-07T00:00:00.000,249187,152158,401345
2024-01-08T00:00:00.000,517198,326817,844015
2024-01-09T00:00:00.000,478685,330005,808690
2024-01-10T00:00:00.000,548560,369768,918328
2024-01-11T00:00:00.000,552911,377922,930833
2024-01-12T00:00:00.000,368347,239249,607596
2024-01-13T00:00:00.000,286037,183824,469861
2024-01-14T00:00:00.000,146724,93057,239781
2024-01-15T00:00:00.000,206791,127069,333860
2024-01-16T00:00:00.000,280514,185903,466417
2024-01-17T00:00:00.000,466850,322741,789591
2024-01-18T00:00:00.000,521058,362414,883472
2024-01-19T00:00:00.000,462986,293650,756636
2024-01-20T00:00:00.000,301556,191705,493261
2024-01-21T00:00:00.000,227288,147028,374316
2024-01-22T00:00:00.000,518106,336751,854857
2024-01-23T00:00:00.000,521585,369664,891249
2024-01-24T00:00:00.000,549204,389714,938918
2024-01-25T00:00:00.000,554313,390971,945284
2024-01-26T00:00:00.000,534739,329826,864565
2024-01-27T00:00:00.000,349068,222033,571101
2024-01-28T00:00:00.000,255458,158081,413539
2024-01-29T00:00:00.000,545769,340556,886325
2024-01-30T00:00:00.000,571297,388718,960015
2024-01-31T00:00:00.000,579236,389322,968558
2024-02-01T00:00:00.000,601932,393012,994944
2024-02-02T00:00:00.000,558905,329307,888212
2024-02-03T00:00:00.000,372165,230410,602575
2024-02-04T00:00:00.000,274654,168339,442993
2024-02-05T00:00:00.000,558625,339256,897881
2024-02-06T00:00:00.000,595983,390513,986496
2024-02-07T00:00:00.000,595233,389227,984460
2024-02-08T00:00:00.000,584729,391355,976084
2024-02-09T00:00:00.000,515769,333453,849222
2024-02-10T00:00:00.000,373420,231891,605311
2024-02-11T00:00:00.000,277432,165836,443268
2024-02-12T00:00:00.000,534181,325070,859251
2024-02-13T00:00:00.000,598961,395880,994841
2024-02-14T00:00:00.000,595347,397294,992641
2024-02-15T00:00:00.000,568392,387472,955864
2024-02-16T00:00:00.000,533701,325332,859033
2024-02-17T00:00:00.000,340993,224306,565299
